Upper-middle-income countries,,1990,5.2167654
Upper-middle-income countries,,1991,5.099152
Upper-middle-income countries,,1992,4.9640083
Upper-middle-income countries,,1993,4.81438
Upper-middle-income countries,,1994,4.642042
Upper-middle-income countries,,1995,4.462596
Upper-middle-income countries,,1996,4.2802
Upper-middle-income countries,,1997,4.0937376
Upper-middle-income countries,,1998,3.9060326
Upper-middle-income countries,,1999,3.7176576
Upper-middle-income countries,,2000,3.5267277
Upper-middle-income countries,,2001,3.3253398
Upper-middle-income countries,,2002,3.126473
Upper-middle-income countries,,2003,2.9356256
Upper-middle-income countries,,2004,2.7604795
Upper-middle-income countries,,2005,2.5998068
Upper-middle-income countries,,2006,2.4474108
Upper-middle-income countries,,2007,2.290219
Upper-middle-income countries,,2008,2.1426587
Upper-middle-income countries,,2009,1.9974457
Upper-middle-income countries,,2010,1.8660583
Upper-middle-income countries,,2011,1.757644
Upper-middle-income countries,,2012,1.6463058
Upper-middle-income countries,,2013,1.5668387
Upper-middle-income countries,,2014,1.4849609
Upper-middle-income countries,,2015,1.4213719
Upper-middle-income countries,,2016,1.3516481
Upper-middle-income countries,,2017,1.279889
Upper-middle-income countries,,2018,1.257701
Upper-middle-income countries,,2019,1.2193989
Upper-middle-income countries,,2020,1.2012602
Upper-middle-income countries,,2021,1.1750195
